CREATE,,
DEBUG,,
ADD,o,
ADD,u,
ADD,r,
ADD,e,
ADD,q,
ADD,f,
ADD,n,
ADD,e,
ADD,i,
ADD,Y,
DEBUG,,
ADD,P,
DEBUG,,
SET,4,k
SET,12,h
DEBUG,,
GET,8,
GET,11,
INSERT,21,r
INSERT,4,i
INSERT,4,k
INSERT,4,T
INSERT,4,h
INSERT,4,e
INSERT,4,r
DEBUG,,
DELETE,6,
DEBUG,,
DELETE,10,
DEBUG,,
DELETE,11,
DEBUG,,
DELETE,7,
DEBUG,,
DELETE,13,
DEBUG,,
SWAP,1,3
SWAP,7,8
DEBUG,,
SWAP,0,13
DELETE,10,
DEBUG,,
ADD,a,
ADD,O,
DEBUG,,
INSERT,12,u
ADD,S,
ADD,r,
ADD,v,
ADD,t,
ADD,i,
DEBUG,,
INSERT,25,b
SET,15,l
INSERT,27,j
DEBUG,,
SET,10,D
SWAP,16,13
ADD,e,
INSERT,20,S
DEBUG,,
INSERT,8,n
INSERT,7,B
INSERT,13,Y
DEBUG,,
SET,14,o
SWAP,0,7
SWAP,2,9
SWAP,18,20
SWAP,2,23
SWAP,8,12
DEBUG,,
